,id,name,rating_kp,rating_imdb,votes_kp,votes_imdb,year,genre,director,director_id,countries
39,414661,Один в новогоднюю ночь,4.883,0.0,388,0,2006,комедия,Юрий Стыцковский,1600481,Россия
40,494615,Горе от ума,7.966,0.0,1272,0,2000,драма,Олег Меньшиков,25248,Россия
41,41511,Болевой прием,6.259,5.4,899,27,1992,"боевик, драма, криминал",Георгий Кузнецов,290499,Россия
42,837155,Противостояние,5.944,6.1,184,890,2014,"драма, мелодрама, детектив",Джонатан Тайеб,2365430,"Франция, Россия, Украина"
43,447107,К вам пришёл ангел,6.281,0.0,309,0,2004,мелодрама,Николай Глинский,320199,Россия
44,921497,Психи,4.357,5.0,723,23,2015,"боевик, драма",Алексей Китайцев,3020057,Россия
45,440014,Леший 2,6.143,0.0,607,0,2008,мелодрама,Александр Копейкин,238766,Россия
46,40857,Одна на миллион,6.953,6.1,1349,34,1992,"мелодрама, комедия",Рубен Мурадян,281008,Россия
47,1363102,Охотница,5.483,0.0,1608,0,2019,детектив,Александр Баршак,1627409,Россия
48,613591,Я и другие,5.58,0.0,492,0,2010,документальный,Всеволод Бродский,2154153,Россия
49,395417,Контрольный поцелуй,4.944,0.0,100,0,2006,комедия,Александр Замятин,1525436,Россия
50,1109267,Фагот,5.892,5.1,3565,48,2018,комедия,Борис Гуц,2949699,Россия
51,439770,Сынок,5.921,6.2,1672,68,2009,драма,Лариса Садилова,224467,Россия
52,497536,Нереальный кастинг,3.797,0.0,790,0,2010,комедия,Руслан Кечеджиян,1939444,Россия
53,253243,Противостояние,6.999,0.0,1082,0,2005,"боевик, драма",Виталий Воробьев,565971,Россия
54,840710,"Осторожно, каникулы",5.625,0.0,1610,0,2015,"приключения, комедия, детский, семейный",Олег Захаров,2370600,Россия
55,927712,Последний рубеж,6.214,0.0,2468,0,2015,"военный, история, драма",Сергей Краснов,1230535,Россия
56,40879,Падение,5.491,4.1,508,30,1993,"триллер, детектив",Лев Пискунов,277232,Россия
57,573860,Камень,5.928,5.5,26711,755,2011,"триллер, драма, криминал",Вячеслав Каминский,2673261,Россия
58,842951,#taptal,6.476,0.0,198,0,2014,комедия,Роман Дорофеев,2339441,Россия
59,1009752,Герасим,6.022,0.0,1148,0,2017,драма,Ростислав Мусаев,1890106,Россия
60,420071,Оперативная разработка,5.825,5.9,645,13,2007,детектив,Виктор Татарский,607780,Россия
61,477493,Я искушен в любви и в чистом искусстве,3.726,0.0,164,0,1999,мелодрама,Константин Селиверстов,1660864,Россия
